CID,Name,CreatorUID
1,Hitchcock's Classics,913
2,Sci-Fi Collection,1829
3,Purpose Comedy Films,4838
4,Coppola's Classics,245
5,My Brother Collection,4140
6,My Ago Collection,218
7,Judith's Watchlist,1629
8,Election Mystery Films,4465
9,My Dog Collection,3680
10,Anderson's Archive,2279
11,Best of 2000s,2788
12,Best of 90s,1764
13,Chair Sci-Fi Films,760
14,Best of New Wave,2941
15,Miyazaki's Favorites,2167
16,Waititi's Masterpieces,3101
17,My Since Collection,2963
18,Curtis's Watchlist,1576
19,Fincher's Masterpieces,570
20,Sci-Fi Anthology,654
21,Sit Animation Films,2278
22,Best of Modern,1333
23,Patricia's Watchlist,1717
24,Christopher's Watchlist,2188
25,My Knowledge Collection,585
26,My Almost Collection,1402
27,Crime Anthology,2006
28,Anthony's Watchlist,2212
29,Documentary Movies,4563
30,Villeneuve's Anthology,1877
31,Coppola's Series,2194
32,Jeffery's Watchlist,1742
33,Mouth Crime Films,4090
34,Best of 2000s,1171
35,Carolyn's Watchlist,2021
36,My Option Collection,4599
37,James's Watchlist,2153
38,Rate Musical Films,4789
39,Horror Watchlist,2966
40,Tarantino's Picks,745
41,Jacqueline's Watchlist,1311
42,My Kind Collection,3459
43,Discussion Musical Films,521
44,List Superhero Films,4882
45,My Perform Collection,2060
46,Joshua's Watchlist,95
47,Misty's Watchlist,939
48,Best of Vintage,4399
49,Lynch's Archive,2787
50,Song Action Films,1296
51,My Sure Collection,2158
52,My Collection Collection,1464
53,Helen's Watchlist,872
54,Matthew's Watchlist,2445
55,My Clearly Collection,4159
56,Animation Selection,1630
57,My Dinner Collection,4419
58,My Source Collection,5
59,Great Action Films,2656
60,Best of Classic,917
61,Fincher's Collection,1962
62,Curtis's Watchlist,702
63,Waititi's Picks,3982
64,Noah's Watchlist,1052
65,My Her Collection,3894
66,Best of Silent Era,1353
67,Throw Romance Films,4970
68,Maurice's Watchlist,4418
69,Joseph's Watchlist,1648
70,Animal Animation Films,2554
71,My Show Collection,3589
72,Fincher's Classics,3699
73,Best of 80s,525
74,My Machine Collection,4820
75,My Not Collection,1886
76,Scorsese's Movies,1805
77,Spielberg's Series,1876
78,My Capital Collection,581
79,Best of Vintage,1950
