FollowerUID,FollowsUID
635,429
745,1289
1549,4026
181,4114
4362,3302
2198,1310
642,4919
1372,2766
2054,846
2792,2678
1512,4404
1008,2305
4031,2429
4135,42
923,4447
3892,2312
3437,602
1090,226
546,583
651,4294
3942,4555
4187,3226
1096,1244
4021,1052
1690,4503
1841,862
2355,1694
2382,2358
1699,3735
466,1738
4429,3378
2029,38
4290,2849
3791,1418
666,4337
2532,315
2801,3353
2205,3744
3234,4469
3132,3918
102,30
1649,3965
2709,2861
4610,4654
2194,3402
3388,2459
606,4851
2745,3343
4420,609
875,3812
857,3425
588,3387
3251,2834
1514,48
3373,4248
4705,3840
4600,558
1555,370
4938,3711
2991,1445
2017,1141
1946,2522
3664,2900
4784,989
2093,3205
552,4292
509,1950
4509,1297
4027,1079
282,170
383,1003
405,3973
4554,1517
4708,1004
3081,4721
852,3739
517,1063
223,2011
1083,777
2497,3206
3398,3855
975,1361
4413,2989
2148,4133
679,2212
802,3760
269,4282
2061,3929
2651,2893
4077,3497
4353,1086
3973,669
2469,3181
1970,4904
2056,3928
3864,4874
2597,4483
3319,481
1681,3917
4460,765
3622,3983
1614,1897
1099,4482
4001,2813
3352,4759
399,3964
2578,483
1591,3540
4210,594
4605,3608
4631,3168
4094,4733
1488,3963
1773,1872
2488,2732
1959,1749
1214,1657
1274,1566
2807,1975
3860,1968
2320,1397
2811,1921
2380,3739
4667,4862
2506,4097
4796,4272
945,2697
3772,428
4853,3057
2956,1346
2807,3878
202,1430
4442,3673
2832,4906
1787,4611
4897,4972
3614,1578
3774,772
3120,3302
497,163
1317,2605
1600,3735
1007,3827
2331,1479
330,3755
4543,3537
1097,1617
1080,3629
2593,2504
2738,2917
1918,4227
2300,835
4645,4158
1506,2173
3093,1722
1994,2467
477,3165
4431,3557
3739,3186
1360,1952
1405,3932
4505,1696
4986,1421
3177,2371
4343,3010
2617,2143
2725,4976
4174,3610
3985,2260
1049,2598
1176,521
4333,1339
2647,2039
1519,255
2006,4572
1264,4599
2847,226
3714,2354
2507,1957
3599,986
2009,2094
1087,1403
2424,3098
3742,2882
1161,4720
3604,3165
997,3938
820,4243
2977,949
2517,4575
4300,571
1144,341
2965,735
675,861
1066,1995
346,4850
2413,1642
2545,2143
1569,4421
2577,1206
2839,3208
3341,2391
2371,2229
499,965
2017,4930
1759,2857
955,3998
1007,2230
114,4934
1959,1900
1331,2089
1475,3619
687,1384
4789,1737
2969,4701
3476,1820
4168,2365
2508,1556
3991,707
3172,1753
3253,4897
2393,1777
3498,435
1186,2215
1548,1825
2763,4149
4350,3562
100,4799
1721,1137
4707,2801
3994,2809
2666,134
600,4500
2580,2875
702,2130
982,4278
4783,1870
4435,2121
3003,2537
1495,3732
2427,2521
605,1319
920,2786
1220,42
1223,786
1276,3320
4219,299
3892,2585
1731,3705
3923,36
1364,4264
310,2011
1098,1808
676,1422
300,3252
3253,542
2600,2443
4607,645
1769,1439
7,4741
4130,3473
685,2705
735,3173
4362,3000
579,4405
138,404
1194,92
3511,2363
3610,1022
1862,87
2112,3924
46,1603
1113,1131
3534,529
2757,4703
4301,504
2390,253
3761,4474
1675,871
1634,3597
4793,882
1852,1405
1495,912
4745,3091
2908,3700
4616,3012
4549,69
1675,320
963,4998
1831,690
1583,1278
2356,223
4881,3435
3964,1569
2892,1363
3583,1287
2249,836
193,4793
131,2258
100,4899
4996,2675
1873,1194
1442,986
3904,3008
2548,3035
4239,3486
3768,3941
3092,3522
3104,3170
3866,2521
406,4431
4604,4384
2358,76
3579,1886
4656,4603
1531,4011
3436,1602
4041,646
3961,4949
3441,117
4775,1143
2887,3296
3019,2364
2033,3178
1037,3375
2082,2145
3970,2201
503,2689
1963,958
2620,1076
2813,4764
4669,2584
4251,4843
1237,598
4852,3678
182,4181
2851,2868
4106,1139
2918,3100
3623,4179
948,2568
143,3869
1767,4947
1754,1014
2055,1216
3561,4710
597,2762
1159,1697
3725,2543
4218,979
4975,2885
3701,2906
2973,3978
2525,1068
3113,1563
639,4590
1182,4649
2099,1990
1469,2135
4951,1640
292,4413
4080,928
2338,2173
3607,1753
4392,1210
1834,738
2144,162
2006,1812
63,3574
4714,4452
28,3349
2213,1732
2102,286
4870,2748
3014,1961
957,1824
3996,3378
4901,36
1656,3229
1937,3477
1073,3971
4192,4324
3829,4503
4302,3065
3988,646
2713,1617
288,3741
2637,202
3460,111
4327,2244
2622,452
983,2697
111,1708
3766,1044
3540,1786
2376,2928
4180,4769
2163,1891
4784,703
4568,2346
4814,362
991,1838
3935,4953
4632,12
4222,1920
1623,1698
1634,1340
1965,2214
3085,3480
1601,22
3791,4091
1499,4628
4944,4018
620,312
900,4450
1679,270
2176,4590
3708,4477
1519,3366
83,2724
100,2397
4287,803
3547,1801
4940,3523
1553,1170
3388,382
1813,4266
2946,4539
4731,687
1841,4048
808,2222
4140,3743
2690,2050
4510,2853
600,279
866,2689
338,3224
1377,4618
2577,1295
1092,1934
3027,1930
4147,4686
801,4641
4366,3144
3750,3673
4117,2007
1180,2672
875,323
1890,2286
2,4871
2703,899
3449,2330
