MID,GID
7470,7
2611,4
6446,10
7293,20
8019,14
5941,12
4870,1
4245,11
3678,16
5847,8
2236,19
3696,10
4942,18
2089,16
6627,13
4579,5
6095,5
4769,20
2496,20
1682,3
3490,7
1291,3
2869,12
5634,11
1510,10
2134,10
7387,15
4241,12
2224,9
3550,11
1970,17
1392,8
6611,14
7167,11
2773,16
4379,20
6570,17
6990,14
8427,13
843,20
4090,5
7645,14
3140,19
1230,7
4536,6
1105,19
1815,4
7583,4
2987,10
3918,8
5729,8
1172,2
2179,7
769,1
1350,19
3941,15
7582,9
3131,15
8046,4
654,11
3979,9
6735,11
7683,3
820,19
234,16
2157,18
6405,2
3282,20
6742,7
4274,19
6204,17
6657,12
2291,13
2872,16
2663,4
7278,12
8587,8
413,11
52,19
1706,7
6146,7
7435,10
1726,19
1315,10
2485,15
1738,18
4929,7
6761,6
6836,4
6030,6
2568,17
8284,18
2039,8
8139,13
6002,9
7991,9
6210,18
8475,19
2516,2
292,7
4005,13
7963,13
7463,16
245,19
7438,18
4032,14
862,10
5140,18
4348,9
7075,15
6970,4
7288,17
6646,18
3640,7
1550,13
8674,11
4920,7
2871,18
467,18
1885,10
2941,9
5983,10
3073,17
1093,17
193,9
1081,9
8506,5
153,16
5963,17
3440,6
981,15
816,16
6125,7
5937,1
8383,5
3342,15
7505,16
4524,16
514,12
2588,13
8426,13
932,14
8195,18
6098,12
6630,20
3954,15
4604,16
7761,18
325,7
4145,3
1380,7
2685,5
8627,13
6212,5
5478,2
7938,14
2410,7
625,7
4937,8
997,1
7068,7
925,17
3143,4
5637,5
6932,20
8164,16
3172,16
3842,5
2450,9
8398,11
5848,20
2610,17
3794,19
4338,16
1389,12
7504,12
2673,7
4641,19
6805,20
8104,6
6300,12
4509,13
1030,2
2004,4
2313,3
763,17
2462,12
1235,5
8659,7
2815,3
6533,19
2744,17
3195,20
2766,17
5423,11
1043,10
8649,2
6756,19
4446,15
462,9
5293,16
2255,16
7332,9
4960,5
4495,6
4505,16
565,9
3325,9
6421,14
7908,17
3758,1
3273,11
1511,3
7796,8
2650,18
3583,9
8073,3
6166,11
6946,7
4074,10
4224,14
6331,17
7477,19
2094,16
541,1
1055,17
3646,9
636,11
7392,12
3465,18
6989,5
186,9
4253,4
6885,4
8768,5
2837,14
5813,20
8036,3
1224,1
373,2
8612,11
810,7
5592,16
8607,4
2229,19
4709,6
352,10
7427,19
8748,6
929,5
1974,16
1759,12
2999,12
1876,12
6689,13
37,19
6518,9
7561,20
5797,18
4195,18
5869,16
7737,9
1560,2
7489,5
2884,11
228,8
6080,17
4028,20
2286,8
8503,17
6184,4
21,15
5114,3
7952,11
3692,5
28,19
184,4
6541,11
599,4
7058,10
8372,2
273,13
3252,14
3247,3
1290,19
5841,16
3109,19
1145,9
6106,13
3013,10
6247,2
3033,18
5177,9
4697,13
3903,13
4511,20
2684,4
4443,17
6345,6
6298,7
3139,10
8219,3
7899,3
2978,9
7003,18
1862,3
3538,12
4943,14
7070,11
7721,12
3766,5
7328,3
6341,7
7647,18
4838,3
2731,19
1558,8
6207,8
7033,9
6194,6
3713,13
1420,10
8029,18
6667,9
5971,15
1468,1
4474,2
4610,14
3123,2
2304,4
1644,6
3397,7
2555,12
5574,8
2502,8
6083,9
6473,14
3070,20
4232,9
855,18
6268,6
4788,1
2751,13
1720,1
4504,13
6782,17
1410,8
112,14
3404,5
6040,14
5051,20
4226,7
7962,6
215,18
516,18
1539,7
2385,9
505,19
252,14
4694,9
7442,13
3346,5
2739,2
3161,19
7305,10
8241,15
2645,20
2973,8
8208,9
3704,4
2351,9
579,15
1210,4
914,6
2458,6
1390,19
6320,5
1405,10
6660,12
7554,19
7236,20
3303,6
8511,6
5205,15
8278,2
7892,14
8435,19
3937,3
2804,17
6798,2
2654,7
1159,16
6801,7
3843,5
3780,1
118,7
150,6
4403,5
1967,4
6005,7
1795,10
3698,20
2876,12
5854,6
1527,2
7488,17
5795,13
3620,4
6279,2
7815,3
1287,8
6935,19
2540,16
3803,5
7469,9
7057,6
7639,2
6642,3
7926,1
1926,11
5626,20
4156,5
5299,19
6121,5
8247,20
5535,15
8217,13
5874,9
6750,3
6451,6
4433,17
4415,12
4729,4
1209,8
5760,4
