CID,MID
1,1825
1,2508
1,4972
1,6998
2,410
3,4507
3,8234
4,4013
4,6224
5,855
5,2247
5,3658
5,4125
5,8266
5,8285
6,818
6,1355
6,2287
6,3488
7,1680
7,4864
7,5886
8,620
8,1269
8,1425
9,2763
9,2917
9,6913
9,7243
9,7290
10,521
10,885
10,2299
10,2446
10,3676
11,489
11,3517
12,1536
12,1878
12,4708
12,5693
12,7882
13,1588
13,1937
13,2287
13,3204
13,3411
13,3583
13,7324
14,3812
15,8280
16,435
17,953
17,2277
17,3258
17,6998
17,7808
18,2005
18,6874
18,7721
19,3612
19,6450
19,7046
20,7360
21,2524
21,2932
21,4558
21,7030
21,7365
22,107
22,380
23,829
23,1714
23,1812
23,2616
23,3061
23,4281
23,5953
23,6433
24,1615
24,2319
24,6925
25,464
25,4546
25,5575
26,1545
26,3913
26,4553
26,6565
26,7487
27,1091
27,2548
27,7116
28,1827
28,3528
28,4082
28,6299
28,8728
29,958
29,3397
29,5515
29,6064
29,6748
29,7728
30,1675
30,2622
30,3254
30,5075
31,1520
31,5824
31,6445
31,7288
31,7382
32,5272
32,6225
32,7094
33,1585
34,5096
34,5882
35,5636
35,6793
36,157
36,1112
36,1396
36,1617
36,2648
36,3317
36,4334
36,5998
36,8314
36,8696
37,712
37,2595
37,7654
37,7870
38,7528
39,5356
39,5622
39,8786
40,56
40,2046
40,3960
40,4914
41,4287
41,6202
41,6809
41,7821
42,1292
43,4804
43,5730
43,5892
44,4156
44,5926
44,7328
44,8569
45,3151
46,1140
46,4394
46,5309
47,113
47,751
47,6346
47,6784
48,3734
48,6471
49,3541
49,4742
49,6246
49,7543
49,7583
50,1059
50,1308
50,5683
51,1866
51,3815
52,1655
52,7889
52,8564
53,2485
53,6228
53,6389
53,8021
53,8669
54,4020
54,4555
54,4614
54,8420
55,7429
55,8002
56,868
56,5978
57,530
57,819
57,2665
58,2983
58,4124
58,6066
58,6583
58,7800
59,3213
59,4995
59,5471
59,5725
59,5821
60,686
60,2940
60,3433
60,4400
60,6963
61,2338
61,2690
61,4375
61,4611
61,4957
61,5164
62,1170
63,806
63,2804
63,2808
63,3182
63,6139
63,7155
64,6061
64,7729
64,8752
65,1683
65,4011
65,4584
66,2678
66,2937
66,3572
66,4030
66,7300
66,7806
67,7574
67,8482
68,6217
69,175
69,4423
69,4828
69,8175
70,205
70,1114
70,1704
70,2045
70,2318
70,2459
70,3371
70,3599
70,4907
71,5314
71,7252
72,865
72,917
72,5498
73,3753
73,4970
73,5150
73,5519
73,7484
73,7643
74,526
75,2594
75,5169
75,8709
76,6573
76,6972
76,7547
77,1743
77,3630
77,4387
78,1085
78,1974
79,3457
80,221
80,558
80,2756
80,3565
80,5156
80,5770
80,6434
81,1826
81,2731
81,3484
81,5206
82,3254
82,3764
82,5207
82,5353
82,5554
82,8180
83,6483
84,2074
84,2928
84,4939
84,7518
85,1582
85,2341
86,2274
86,4074
86,4340
86,4636
86,4856
87,2288
87,4919
88,4041
88,4106
88,6947
88,7169
89,4305
90,3545
90,4838
90,6495
90,7020
91,1195
91,4961
91,6289
91,6544
91,8471
92,1370
92,4494
92,5931
92,6093
93,3297
93,3527
93,3594
94,2267
94,5399
95,2508
95,7965
95,8156
95,8349
96,1176
96,2506
96,6704
