SID,MID
83,3430
16,5648
195,5922
78,5566
109,5579
33,240
51,8164
164,567
75,7910
54,8741
112,1868
169,1067
91,3340
64,8464
33,6995
41,5954
100,2202
62,7051
10,4310
94,3362
118,2238
200,2272
168,4391
141,3494
40,2044
53,7284
155,1083
150,8203
195,1149
186,1806
181,1168
132,2644
45,1565
128,4884
7,8570
141,466
49,8711
181,8388
163,1547
76,391
26,4656
116,3748
45,7679
51,5533
159,8101
144,361
43,3056
111,6071
22,1320
145,666
73,7132
21,3682
90,3580
181,3408
120,4309
82,1540
4,5020
105,867
100,8740
40,8170
70,5795
193,6815
61,3902
7,6073
107,2416
135,8104
188,6880
142,7216
155,753
17,3164
142,4188
169,1561
102,6714
157,3949
66,2640
157,1624
40,6087
192,4846
129,6476
55,5328
18,2110
29,8212
166,519
62,388
184,6659
68,8290
135,3268
93,839
154,7924
40,4328
65,7122
190,2415
159,2107
196,3350
30,4495
111,6956
37,4343
82,3406
171,6698
99,1765
51,1190
83,1815
45,3220
179,8119
101,7881
13,7387
26,2751
78,7087
92,8514
182,2685
169,3714
150,5742
6,4504
175,996
18,4023
71,6002
148,3393
139,8067
63,974
107,84
85,1087
162,899
42,7930
200,6343
103,2221
90,2159
82,8498
96,8315
65,8586
9,3898
83,1908
93,5000
90,3090
122,2809
43,1447
91,5046
136,1519
133,7006
133,4887
177,6079
128,277
4,7478
12,644
52,8579
22,6303
77,4777
89,1754
168,3278
9,1234
56,3144
166,4292
117,1619
106,1705
141,3202
150,761
31,2160
106,4741
158,4129
50,4642
119,6260
67,4654
121,8547
96,8638
192,5553
97,4867
199,6836
54,7837
131,512
89,1992
65,5542
52,5410
64,6236
32,2360
52,1089
183,5367
88,6584
172,45
66,5050
189,2237
69,3735
25,1060
13,5067
137,5065
186,5386
152,808
139,273
58,7784
179,6968
66,4423
76,5668
147,403
125,613
14,5800
99,4160
79,392
165,1596
98,2245
157,345
157,2704
77,75
71,3495
100,2387
135,8069
139,5496
127,8145
138,2262
115,3385
172,5568
136,8384
16,7543
129,501
94,4232
58,370
85,6185
62,7117
199,3047
119,7417
128,4952
200,1419
140,2579
121,5464
190,7938
42,626
64,6972
132,8698
188,4754
52,6518
81,246
68,5754
176,4359
