RPID,MID,ReleaseDate
23,4281,2018-06-25
68,6324,2021-12-15
201,2221,1953-05-14
201,460,1954-12-24
201,6614,1976-07-11
134,4518,2019-01-14
108,2568,2021-10-31
201,1823,1987-05-08
71,5558,2018-05-27
201,7047,1994-06-30
201,4529,1990-10-23
20,960,2018-08-18
126,4874,2017-05-21
36,113,2024-03-11
146,2893,2024-06-13
201,5038,1975-06-06
202,3105,1995-08-18
119,5409,2017-05-28
64,7303,2020-03-03
201,3015,1987-05-18
202,3818,2014-06-14
202,372,2009-10-27
201,5095,1975-11-08
201,3047,1973-09-09
83,6858,2023-04-27
69,136,2025-05-17
201,8618,1965-12-17
202,5728,2008-05-17
200,1767,2020-08-18
29,1143,2020-08-11
201,7742,1987-06-30
10,742,2024-09-11
202,6910,2006-09-06
202,907,2015-03-21
117,8566,2023-06-07
202,4671,2003-07-11
66,6960,2023-11-17
121,3253,2018-10-20
115,4863,2017-07-09
201,2313,1994-08-07
136,5505,2024-04-10
137,6655,2017-12-12
123,5937,2025-05-29
202,8693,2006-03-20
154,2117,2024-07-23
202,8033,2013-05-22
201,323,1961-05-04
201,1154,1988-09-17
11,3000,2024-12-14
199,1317,2017-12-22
78,915,2021-02-27
21,5934,2018-06-24
45,8387,2017-11-11
77,437,2022-05-13
198,3527,2017-03-11
202,1188,1998-06-28
202,6210,1996-12-23
202,1944,2007-04-16
76,1077,2022-01-02
202,3487,2020-02-23
116,6018,2019-11-23
180,7229,2023-04-27
97,3928,2020-05-04
53,1333,2021-11-01
173,2277,2020-08-23
158,517,2018-03-28
14,5105,2023-11-17
183,351,2017-05-23
170,3056,2023-01-03
202,1331,2007-02-02
102,5107,2025-04-22
75,8513,2023-02-17
89,766,2020-04-13
71,4890,2022-09-16
202,1323,2002-10-12
120,7256,2023-07-31
43,6269,2020-04-11
178,4647,2024-09-23
45,2600,2021-09-24
113,1865,2023-10-08
49,6490,2020-06-12
201,3355,1968-08-17
202,7902,2009-07-10
164,3872,2025-11-18
135,1578,2019-09-11
202,4563,2015-01-14
87,3196,2022-02-05
79,417,2025-11-14
202,4522,1998-07-08
201,8414,1959-06-04
75,5518,2018-05-21
201,7260,1950-10-16
57,2485,2018-11-22
13,3192,2025-10-04
202,6687,2015-02-27
129,307,2017-11-01
202,1034,2012-04-05
9,51,2025-04-09
202,5766,2009-12-12
130,3890,2017-01-18
129,5585,2020-12-31
202,2874,2006-01-26
202,6921,2006-04-11
192,1585,2024-09-01
122,5505,2019-09-25
202,6467,1999-07-21
202,1435,2004-09-03
153,6327,2017-05-14
60,3627,2017-07-07
192,5153,2020-01-07
202,7789,2007-09-08
143,4494,2023-02-02
194,6992,2023-05-05
116,2776,2022-01-13
59,2358,2018-11-23
202,7073,2014-02-07
202,2481,1996-06-01
58,8460,2018-02-10
202,2182,2003-05-16
126,5832,2017-03-20
25,1519,2018-06-25
201,5846,1950-08-21
10,1105,2025-12-12
201,2600,1987-07-25
202,1695,1996-09-24
143,3560,2018-04-24
202,3332,2004-09-18
201,6441,1994-06-17
202,8090,2001-07-03
11,5414,2024-07-21
202,4860,2008-03-17
201,6487,1986-02-22
202,4200,1996-08-13
134,2068,2022-02-20
170,7377,2020-12-12
202,3959,2004-10-24
74,2340,2021-03-31
201,5537,1982-09-16
20,3076,2017-02-23
57,4735,2019-11-03
68,6820,2017-05-01
201,3345,1956-10-24
202,6483,2001-05-02
93,1688,2025-02-07
115,8489,2025-05-19
15,2238,2021-02-26
202,5164,2000-04-24
202,4206,1998-04-25
202,646,2004-02-03
19,6934,2019-03-29
52,8135,2020-05-16
73,5980,2020-10-13
202,3518,1996-12-03
7,347,2024-04-23
181,7049,2023-01-08
202,1694,2012-03-25
202,6216,2016-01-11
59,1860,2020-12-12
154,3135,2022-02-07
78,227,2019-10-08
202,6388,2006-09-28
68,1259,2025-07-06
74,5720,2021-04-09
155,2456,2019-12-31
201,7756,1961-12-15
108,6611,2018-06-18
202,5770,2015-05-30
167,7593,2021-01-30
202,6857,2020-11-23
202,7404,1996-02-28
202,282,2014-10-09
175,3771,2025-12-11
30,4080,2020-08-03
41,6354,2018-12-25
202,6710,1995-05-23
196,2067,2023-02-12
142,4379,2021-10-12
201,1417,1966-08-28
70,7614,2025-04-20
194,1168,2024-03-09
202,8615,2007-11-09
201,4374,1973-12-12
202,2580,2005-02-20
202,5183,2023-03-04
202,965,2003-03-10
201,1241,1957-04-27
202,5277,2003-02-27
44,6744,2017-03-12
193,1800,2017-09-19
49,3908,2020-06-03
201,534,1957-01-16
192,1951,2021-11-30
202,7839,2007-12-22
202,365,2020-09-29
202,7209,2003-03-26
201,6404,1957-10-30
202,5044,2009-03-20
52,2161,2023-07-18
102,4402,2024-12-29
182,5527,2023-04-19
79,3500,2025-12-06
167,1114,2019-08-02
124,3423,2025-07-12
114,2833,2020-05-07
6,6609,2024-05-31
170,1406,2024-05-03
201,4132,1964-06-07
46,7373,2019-05-23
152,4036,2019-02-04
201,5321,1956-07-31
202,3,2002-05-21
201,3606,1966-12-25
109,6563,2024-08-21
33,6353,2023-04-08
202,5559,2014-05-08
79,2121,2017-09-08
202,3842,2004-02-26
187,2207,2020-06-09
146,4900,2024-05-12
60,7903,2019-09-25
89,1469,2020-08-13
202,3313,2003-11-24
110,5668,2023-12-24
117,8302,2023-08-07
9,7630,2025-02-08
202,3742,2005-11-11
190,4068,2020-03-26
2,7424,2018-03-01
201,2031,1959-06-11
142,3885,2021-03-08
144,496,2020-12-31
79,622,2017-12-24
82,5924,2022-09-05
7,5523,2018-09-05
50,2276,2025-03-08
33,5490,2017-12-18
201,2329,1984-07-11
170,4681,2022-06-02
201,1111,1985-06-08
202,3665,2001-02-26
192,2982,2019-01-17
143,336,2021-07-14
202,8635,2014-06-21
202,5865,2015-07-08
58,8528,2021-02-03
155,8181,2025-04-06
94,5168,2017-10-19
124,5563,2022-02-28
202,4956,2013-04-16
19,7504,2022-06-19
157,599,2024-10-28
202,2954,1997-01-01
15,254,2017-11-25
179,7721,2017-01-01
153,3291,2025-06-05
18,7847,2021-01-19
202,760,2010-02-12
201,8683,1954-09-30
201,2556,1993-01-25
202,1898,2005-11-10
202,7195,1995-02-08
201,4831,1989-06-04
202,5287,2001-02-25
83,3522,2022-12-28
194,6841,2019-11-01
202,6192,2007-08-08
202,5934,2001-04-23
94,7075,2017-12-15
46,8442,2023-09-27
202,3042,2003-11-19
144,3548,2018-03-21
96,8332,2017-10-01
202,7851,2003-11-13
201,8146,1951-07-29
201,1003,1968-11-27
