UID,MID,StartTime,EndTime
2588,6862,2022-11-24 05:13:55,2022-11-24 05:55:36
3954,5357,2024-09-01 21:04:46,2024-09-01 22:08:59
1934,4086,2020-10-09 08:05:50,2020-10-09 09:12:14
3657,6667,2024-08-01 03:20:56,2024-08-01 05:50:38
4482,5143,2020-06-11 12:38:47,2020-06-11 13:41:23
2449,5781,2023-11-27 09:51:23,2023-11-27 10:04:08
3492,812,2024-12-10 22:57:16,2024-12-10 23:05:37
1460,4209,1995-10-31 08:31:56,1995-10-31 09:42:35
708,3221,2024-02-05 01:08:13,2024-02-05 02:01:10
2718,835,2023-02-19 01:27:53,2023-02-19 02:10:53
2872,3655,2016-06-07 18:08:37,2016-06-07 18:21:26
112,165,2023-07-21 16:35:53,2023-07-21 17:47:21
985,5218,1979-05-06 00:58:09,1979-05-06 02:19:56
277,1174,2000-06-08 02:34:16,2000-06-08 04:06:50
3558,5436,2024-03-05 17:43:00,2024-03-05 19:37:39
341,1501,1990-02-03 12:35:52,1990-02-03 13:08:27
4038,5918,2024-04-22 05:50:42,2024-04-22 06:43:07
676,6701,2020-11-17 19:41:32,2020-11-17 20:14:26
1268,5845,2024-12-12 14:16:35,2024-12-12 14:56:19
1678,2140,2024-08-23 11:03:42,2024-08-23 11:55:06
2620,4935,2024-07-01 15:27:04,2024-07-01 16:21:22
2020,6449,2025-02-12 16:59:07,2025-02-12 17:12:27
1712,3674,2024-12-14 04:09:06,2024-12-14 04:56:06
3998,2982,2024-02-13 10:35:20,2024-02-13 12:00:00
4592,3082,1997-09-02 00:01:10,1997-09-02 00:29:33
1188,4211,2024-12-25 23:32:42,2024-12-26 00:55:42
3872,2187,2024-10-30 10:53:38,2024-10-30 12:49:21
1211,405,2025-01-03 01:54:33,2025-01-03 02:42:43
1402,8758,2002-12-15 00:18:44,2002-12-15 02:15:32
4403,4301,2003-07-03 11:02:35,2003-07-03 11:43:16
4500,7484,2008-11-26 12:09:36,2008-11-26 12:24:33
150,6135,2017-04-20 04:18:22,2017-04-20 04:52:51
1947,6724,2022-07-18 06:29:47,2022-07-18 06:50:55
4272,2322,2016-04-04 03:20:48,2016-04-04 03:38:21
2087,4006,2021-05-20 13:42:38,2021-05-20 14:38:43
2175,4038,2024-12-08 02:54:27,2024-12-08 03:12:09
56,5107,2020-07-18 02:25:33,2020-07-18 03:20:11
4572,2422,2024-11-05 19:16:02,2024-11-05 21:02:37
1975,3660,2024-01-20 23:22:14,2024-01-21 00:01:40
1733,5225,2017-11-29 03:58:12,2017-11-29 04:46:24
4842,4172,2024-11-26 17:04:09,2024-11-26 18:23:37
96,5626,2020-03-23 09:48:35,2020-03-23 10:20:23
3730,4399,2024-08-30 04:59:20,2024-08-30 05:36:42
2481,5527,2024-06-17 17:35:37,2024-06-17 18:17:57
645,4825,2018-05-29 10:42:32,2018-05-29 11:22:58
3669,6307,2012-04-30 21:29:15,2012-04-30 22:25:55
138,5161,2018-06-09 19:02:14,2018-06-09 19:08:57
497,7078,2010-04-27 11:42:38,2010-04-27 13:49:54
1030,1616,2008-07-05 02:08:48,2008-07-05 03:43:33
3306,4018,1997-09-04 17:25:32,1997-09-04 18:23:33
3230,5349,2025-02-26 09:58:37,2025-02-26 12:00:32
3158,3975,2017-10-07 03:47:33,2017-10-07 04:03:44
189,8537,2020-12-18 18:27:41,2020-12-18 19:37:50
4230,3143,2025-04-30 04:38:34,2025-04-30 05:38:27
3874,794,2025-04-04 06:56:36,2025-04-04 08:20:27
4219,5890,2024-07-10 07:26:53,2024-07-10 08:37:57
1763,2715,2021-10-26 02:25:47,2021-10-26 02:48:36
